PIDpaths
PID: 1, Command: /usr/lib/systemd/systemd
PID: 1058, Command: /usr/libexec/rtkit-daemon
PID: 1108, Command: /usr/libexec/upowerd
PID: 1120, Command: /usr/sbin/lightdm
PID: 1142, Command: /usr/lib/systemd/systemd
PID: 1143, Command: /usr/lib/systemd/systemd
PID: 1150, Command: /usr/bin/pipewire
PID: 1151, Command: /usr/bin/pulseaudio
PID: 1152, Command: /usr/bin/dbus-daemon
PID: 1156, Command: /usr/bin/gnome-keyring-daemon
PID: 1159, Command: /usr/bin/cinnamon-session
PID: 1182, Command: /usr/libexec/gvfsd
PID: 1192, Command: /usr/libexec/gvfsd-fuse
PID: 1377, Command: /usr/libexec/at-spi-bus-launcher
PID: 1383, Command: /usr/bin/dbus-daemon
PID: 1386, Command: /usr/libexec/at-spi2-registryd
PID: 1397, Command: /usr/libexec/csd-color
PID: 1398, Command: /usr/libexec/csd-keyboard
PID: 1399, Command: /usr/libexec/csd-power
PID: 1400, Command: /usr/libexec/csd-media-keys
PID: 1407, Command: /usr/libexec/csd-automount
PID: 1412, Command: /usr/libexec/csd-housekeeping
PID: 1421, Command: /usr/libexec/csd-screensaver-proxy
PID: 1422, Command: /usr/libexec/csd-clipboard
PID: 1423, Command: /usr/libexec/csd-print-notifications
PID: 1433, Command: /usr/libexec/csd-a11y-settings
PID: 1434, Command: /usr/libexec/csd-wacom
PID: 1438, Command: /usr/libexec/csd-background
PID: 1440, Command: /usr/libexec/csd-xsettings
PID: 1455, Command: /usr/libexec/gvfs-udisks2-volume-monitor
PID: 1463, Command: /usr/libexec/gvfs-goa-volume-monitor
PID: 1467, Command: /usr/libexec/colord
PID: 1468, Command: /usr/libexec/dconf-service
PID: 1473, Command: /usr/libexec/goa-daemon
PID: 1484, Command: /usr/libexec/goa-identity-service
PID: 1487, Command: /usr/libexec/csd-printer
PID: 1491, Command: /usr/libexec/gvfs-mtp-volume-monitor
PID: 1497, Command: /usr/libexec/gvfs-gphoto2-volume-monitor
PID: 1503, Command: /usr/libexec/gvfs-afc-volume-monitor
PID: 1535, Command: /usr/bin/python3.10
PID: 1540, Command: /usr/bin/cinnamon
PID: 1555, Command: /usr/libexec/xapps/sn-watcher/xapp-sn-watcher
PID: 1574, Command: /usr/bin/python3.10
PID: 1576, Command: /usr/libexec/geoclue-2.0/demos/agent
PID: 1577, Command: /usr/bin/nemo-desktop
PID: 1581, Command: /usr/libexec/evolution-data-server/evolution-alarm-notify
PID: 1585, Command: /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
PID: 1586, Command: /usr/bin/nm-applet
PID: 1590, Command: /usr/bin/python3.10
PID: 1620, Command: /usr/libexec/evolution-source-registry
PID: 1634, Command: /usr/libexec/evolution-calendar-factory
PID: 1648, Command: /usr/libexec/evolution-addressbook-factory
PID: 1689, Command: /usr/lib/bluetooth/obexd
PID: 1720, Command: /usr/libexec/gvfsd-trash
PID: 1737, Command: /usr/libexec/gvfsd-metadata
PID: 1752, Command: /usr/libexec/gnome-terminal-server
PID: 1777, Command: /usr/bin/bash
PID: 1795, Command: /usr/bin/python3.10
PID: 1821, Command: /usr/bin/python3.10
PID: 1824, Command: /usr/bin/python3.10
PID: 1864, Command: /usr/bin/nemo
PID: 1941, Command: /usr/bin/sudo
PID: 1942, Command: /usr/bin/sudo
PID: 1943, Command: /usr/bin/bash
PID: 2034, Command: /usr/bin/udevadm
PID: 494, Command: /usr/lib/systemd/systemd-journald
PID: 528, Command: /usr/bin/udevadm
PID: 720, Command: /usr/lib/systemd/systemd-resolved
PID: 721, Command: /usr/lib/systemd/systemd-timesyncd
PID: 738, Command: /usr/libexec/accounts-daemon
PID: 739, Command: /usr/sbin/acpid
PID: 742, Command: /usr/sbin/avahi-daemon
PID: 744, Command: /usr/sbin/cron
PID: 745, Command: /usr/bin/dbus-daemon
PID: 746, Command: /usr/sbin/NetworkManager
PID: 754, Command: /usr/sbin/irqbalance
PID: 773, Command: /usr/bin/python3.10
PID: 779, Command: /usr/libexec/polkitd
PID: 781, Command: /usr/sbin/rsyslogd
PID: 786, Command: /usr/lib/systemd/systemd-logind
PID: 800, Command: /usr/libexec/udisks2/udisksd
PID: 801, Command: /usr/bin/VGAuthService
PID: 803, Command: /usr/bin/vmtoolsd
PID: 812, Command: /usr/sbin/wpa_supplicant
PID: 831, Command: /usr/sbin/zed
PID: 850, Command: /usr/sbin/avahi-daemon
PID: 878, Command: /usr/sbin/ModemManager
PID: 880, Command: /usr/sbin/cupsd
PID: 893, Command: /usr/sbin/sshd
PID: 908, Command: /usr/sbin/lightdm
PID: 920, Command: /usr/lib/xorg/Xorg
PID: 923, Command: /usr/sbin/agetty
PID: 940, Command: /usr/sbin/cups-browsed
PID: 949, Command: /usr/sbin/kerneloops
PID: 954, Command: /usr/sbin/kerneloops
Resolved all of the executible paths of PIDS in PIDpaths.txt. Look for ones in /tmp, /dev/shm, or ones that have been deleted but are still running.
